Airline,SourceAirport,DestinationAirport,SourceAirport_City,SourceAirport_Country,SourceAirport_Latitude,SourceAirport_Longitude,SourceAirport_Altitude,DestinationAirport_City,DestinationAirport_Country,DestinationAirport_Latitude,DestinationAirport_Longitude,DestinationAirport_Altitude,Distance,FlyTime,Price
Pegasus Airlines,Sabiha Gökçen International Airport,Imam Khomeini International Airport,Istanbul,Turkey,40.898601532,29.3092002869,312,Tehran,Iran,35.416099548339844,51.15219879150391,3305,1998.5413333328268,2.6248330163629294,271.489760312044
Turkish Airlines,Atatürk International Airport,Imam Khomeini International Airport,Istanbul,Turkey,40.976898,28.8146,163,Tehran,Iran,35.416099548339844,51.15219879150391,3305,2040.9788105605924,2.8823617032374034,300.5894993313677
Emirates,Dubai International Airport,Imam Khomeini International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,62,Tehran,Iran,35.416099548339844,51.15219879150391,3305,1199.863567129553,1.536045791622942,210.21587863153513
Etihad Airways,Abu Dhabi International Airport,Imam Khomeini International Airport,Abu Dhabi,United Arab Emirates,24.433000564575195,54.651100158691406,88,Tehran,Iran,35.416099548339844,51.15219879150391,3305,1266.6814529891146,2.1441990356450615,175.86473312360496
Air Arabia,Sharjah International Airport,Imam Khomeini International Airport,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,Tehran,Iran,35.416099548339844,51.15219879150391,3305,1196.9021466325523,1.7726271694818254,174.33284251418957
Qatar Airways,Hamad International Airport,Imam Khomeini International Airport,Doha,Qatar,25.273056,51.608056,13,Tehran,Iran,35.416099548339844,51.15219879150391,3305,1128.6985039169485,1.8077014612047821,179.7789839013721
Iran Air,Esenboğa International Airport,Imam Khomeini International Airport,Ankara,Turkey,40.1281013489,32.995098114,3125,Tehran,Iran,35.416099548339844,51.15219879150391,3305,1676.121317120518,2.9271542657776726,215.81984298080837
Pegasus Airlines,Adnan Menderes International Airport,Atatürk International Airport,Izmir,Turkey,38.2924003601,27.156999588,412,Istanbul,Turkey,40.976898,28.8146,163,330.5162311808217,0.7066534987987542,118.63124505843192
Turkish Airlines,Chicago O'Hare International Airport,Atatürk International Airport,Chicago,United States,41.9786,-87.9048,672,Istanbul,Turkey,40.976898,28.8146,163,8813.934347917042,11.443809198089728,938.184273421334
Turkish Airlines,Los Angeles International Airport,Atatürk International Airport,Los Angeles,United States,33.94250107,-118.4079971,125,Istanbul,Turkey,40.976898,28.8146,163,11034.235274954479,14.691601954884991,1113.0977870664601
Turkish Airlines,Dubai International Airport,Atatürk International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,62,Istanbul,Turkey,40.976898,28.8146,163,3008.3631780961928,4.548610939080309,364.02283020082257
Turkish Airlines,John F Kennedy International Airport,Atatürk International Airport,New York,United States,40.63980103,-73.77890015,13,Istanbul,Turkey,40.976898,28.8146,163,8051.744239939527,10.967407399661708,821.6456905613954
Turkish Airlines,Antalya International Airport,Atatürk International Airport,Antalya,Turkey,36.898701,30.800501,177,Istanbul,Turkey,40.976898,28.8146,163,484.8747149242695,1.2530227942775776,103.15423686440647
Turkish Airlines,Imam Khomeini International Airport,Atatürk International Airport,Tehran,Iran,35.416099548339844,51.15219879150391,3305,Istanbul,Turkey,40.976898,28.8146,163,2040.9788105605924,3.1465689314304806,238.34825095926874
Turkish Airlines,Adana Airport,Atatürk International Airport,Adana,Turkey,36.9822006226,35.2803993225,65,Istanbul,Turkey,40.976898,28.8146,163,713.5609485190352,1.8701820664961182,99.75025631634352
Turkish Airlines,Milas Bodrum International Airport,Atatürk International Airport,Bodrum,Turkey,37.25059890749999,27.6643009186,21,Istanbul,Turkey,40.976898,28.8146,163,426.052658564099,0.617205876448245,133.28082462776138
Turkish Airlines,Diyarbakir Airport,Atatürk International Airport,Diyabakir,Turkey,37.893901825,40.2010002136,2251,Istanbul,Turkey,40.976898,28.8146,163,1035.2669017167434,1.4325503539569446,151.71598399542685
Turkish Airlines,Dalaman International Airport,Atatürk International Airport,Dalaman,Turkey,36.7131004333,28.7924995422,20,Istanbul,Turkey,40.976898,28.8146,163,474.116515733903,0.7666393830754198,129.98419944389912
Turkish Airlines,Erzurum International Airport,Atatürk International Airport,Erzurum,Turkey,39.9565010071,41.17020034789999,5763,Istanbul,Turkey,40.976898,28.8146,163,1050.47148473393,2.105486595145119,126.66332021828656
Turkish Airlines,Elazığ Airport,Atatürk International Airport,Elazig,Turkey,38.6068992615,39.2914009094,2927,Istanbul,Turkey,40.976898,28.8146,163,932.4374713516363,1.4437936807641072,124.88284057186458
Turkish Airlines,Şanlıurfa GAP Airport,Atatürk International Airport,Sanliurfa,Turkey,37.445663,38.895592,2708,Istanbul,Turkey,40.976898,28.8146,163,952.3878746934328,1.2213160725625405,125.6946398576921
Turkish Airlines,Gaziantep International Airport,Atatürk International Airport,Gaziantep,Turkey,36.9472007751,37.4786987305,2315,Istanbul,Turkey,40.976898,28.8146,163,872.2555364415113,1.440128188440077,119.68866020214901
Turkish Airlines,Malatya Tulga Airport,Atatürk International Airport,Malatya,Turkey,38.353699,38.253899,3016,Istanbul,Turkey,40.976898,28.8146,163,858.4543073668066,1.4557559241825042,166.12041637321994
Turkish Airlines,Trabzon International Airport,Atatürk International Airport,Trabzon,Turkey,40.99509811401367,39.78969955444336,104,Istanbul,Turkey,40.976898,28.8146,163,920.6198404241364,1.9951023226059932,133.2240670396651
Turkish Airlines,Abu Dhabi International Airport,Atatürk International Airport,Abu Dhabi,United Arab Emirates,24.433000564575195,54.651100158691406,88,Istanbul,Turkey,40.976898,28.8146,163,3017.8383505366655,4.733385390285771,347.32643656322665
Turkish Airlines,Hamad International Airport,Atatürk International Airport,Doha,Qatar,25.273056,51.608056,13,Istanbul,Turkey,40.976898,28.8146,163,2733.5143497506883,3.597319355561227,286.45495972057023
Turkish Airlines,Lester B. Pearson International Airport,Atatürk International Airport,Toronto,Canada,43.6772003174,-79.63059997559999,569,Istanbul,Turkey,40.976898,28.8146,163,8198.837510102026,10.201843672450728,917.2748021351327
Turkish Airlines,Washington Dulles International Airport,Atatürk International Airport,Washington,United States,38.94449997,-77.45580292,312,Istanbul,Turkey,40.976898,28.8146,163,8413.018879422594,11.11625242269699,871.7540021070414
Turkish Airlines,George Bush Intercontinental Houston Airport,Atatürk International Airport,Houston,United States,29.984399795532227,-95.34140014648438,97,Istanbul,Turkey,40.976898,28.8146,163,10258.78345528126,13.00251898468289,1035.2950019637615
Turkish Airlines,Esfahan Shahid Beheshti International Airport,Atatürk International Airport,Esfahan,Iran,32.75080108642578,51.86130142211914,5059,Istanbul,Turkey,40.976898,28.8146,163,2236.1578373031134,3.022171847575088,224.3232438062228
Turkish Airlines,Shahid Ashrafi Esfahani Airport,Atatürk International Airport,Bakhtaran,Iran,34.3459014893,47.1581001282,4307,Istanbul,Turkey,40.976898,28.8146,163,1770.435975658081,2.6398783582986223,234.3884363288093
Turkish Airlines,Mashhad International Airport,Atatürk International Airport,Mashhad,Iran,36.235198974609375,59.64099884033203,3263,Istanbul,Turkey,40.976898,28.8146,163,2715.2787996007464,3.5971387497483427,318.29916218405975
Turkish Airlines,Shiraz Shahid Dastghaib International Airport,Atatürk International Airport,Shiraz,Iran,29.53919982910156,52.58980178833008,4920,Istanbul,Turkey,40.976898,28.8146,163,2493.247412561752,3.7583164063411387,260.0618296739256
Turkish Airlines,Tabriz International Airport,Atatürk International Airport,Tabriz,Iran,38.1338996887207,46.23500061035156,4459,Istanbul,Turkey,40.976898,28.8146,163,1523.8305021629171,1.9463638356963724,243.5447802502327
Turkish Airlines,Esenboğa International Airport,Atatürk International Airport,Ankara,Turkey,40.1281013489,32.995098114,3125,Istanbul,Turkey,40.976898,28.8146,163,365.54908036121094,0.7108160311063723,44.617454452493305
Turkish Airlines,Kayseri Erkilet Airport,Atatürk International Airport,Kayseri,Turkey,38.770401001,35.4953994751,3463,Istanbul,Turkey,40.976898,28.8146,163,620.4536257141366,1.525908279915434,114.87987822670316
Turkish Airlines,Batman Airport,Atatürk International Airport,Batman,Turkey,37.9290008545,41.1166000366,1822,Istanbul,Turkey,40.976898,28.8146,163,1108.1337345576055,1.8098432222061018,129.65393694010564
Turkish Airlines,Çardak Airport,Atatürk International Airport,Denizli,Turkey,37.7855987549,29.7012996674,2795,Istanbul,Turkey,40.976898,28.8146,163,362.94112136252767,1.4354451360773077,71.58607475485663
Turkish Airlines,Erzincan Airport,Atatürk International Airport,Erzincan,Turkey,39.7102012634,39.5270004272,3783,Istanbul,Turkey,40.976898,28.8146,163,918.1321081997265,1.3793437615495647,141.1176082413985
Turkish Airlines,Hatay Airport,Atatürk International Airport,Hatay,Turkey,36.36277771,36.282222747800006,269,Istanbul,Turkey,40.976898,28.8146,163,826.2267171088308,1.2632437230415976,112.94087823547021
Turkish Airlines,Kahramanmaraş Airport,Atatürk International Airport,Kahramanmaras,Turkey,37.5388259888,36.9535217285,1723,Istanbul,Turkey,40.976898,28.8146,163,797.7656840466847,1.4319717104235625,106.40180826604069
Turkish Airlines,Konya Airport,Atatürk International Airport,Konya,Turkey,37.979,32.561901,3392,Istanbul,Turkey,40.976898,28.8146,163,463.1175167144238,1.2439966986277677,70.88018225770298
Turkish Airlines,Mardin Airport,Atatürk International Airport,Mardin,Turkey,37.2233009338,40.6316986084,1729,Istanbul,Turkey,40.976898,28.8146,163,1100.6665623291174,1.9692225541882027,141.8119236409197
Turkish Airlines,Muş Airport,Atatürk International Airport,Mus,Turkey,38.74779891967773,41.66120147705078,4157,Istanbul,Turkey,40.976898,28.8146,163,1123.0144834813566,1.402694820435463,157.41379355584274
Turkish Airlines,Amasya Merzifon Airport,Atatürk International Airport,Merzifon,Turkey,40.829399,35.521999,1758,Istanbul,Turkey,40.976898,28.8146,163,563.8103974061252,1.690892731654153,92.59143261375951
Turkish Airlines,Nevşehir Kapadokya Airport,Atatürk International Airport,Nevsehir,Turkey,38.7719,34.5345,3100,Istanbul,Turkey,40.976898,28.8146,163,546.0786700823834,1.0834395083307617,124.29822892870578
Turkish Airlines,Van Ferit Melen Airport,Atatürk International Airport,Van,Turkey,38.46820068359375,43.332298278808594,5480,Istanbul,Turkey,40.976898,28.8146,163,1270.956015324682,2.4123497461147037,155.0047351344317
Turkish Airlines,Sivas Nuri Demirağ Airport,Atatürk International Airport,Sivas,Turkey,39.813801,36.9035,5239,Istanbul,Turkey,40.976898,28.8146,163,696.8391435974669,1.1337949119443578,72.52047281083883
Turkish Airlines,Adıyaman Airport,Atatürk International Airport,Adiyaman,Turkey,37.7313995361,38.4688987732,2216,Istanbul,Turkey,40.976898,28.8146,163,904.4663173251762,1.810558846523926,133.1806714539511
Turkish Airlines,Ağrı Airport,Atatürk International Airport,Agri,Turkey,39.654541015625,43.025978088378906,5462,Istanbul,Turkey,40.976898,28.8146,163,1212.4804165733765,1.7794684621269763,214.68225069471976
Turkish Airlines,Bingöl Çeltiksuyu Airport,Atatürk International Airport,Bingol,Turkey,38.8592605591,40.5959625244,3506,Istanbul,Turkey,40.976898,28.8146,163,1031.0819498409692,2.1713135204564127,167.0916823558224
Turkish Airlines,Iğdır Airport,Atatürk International Airport,Igdir,Turkey,39.9766273499,43.8766479492,3101,Istanbul,Turkey,40.976898,28.8146,163,1277.2357533835561,2.062572160087883,223.55420703636324
Turkish Airlines,Süleyman Demirel International Airport,Atatürk International Airport,Isparta,Turkey,37.8554000854,30.3684005737,2835,Istanbul,Turkey,40.976898,28.8146,163,371.85659925600635,1.1646689346300674,49.657612233682684
Turkish Airlines,Kastamonu Airport,Atatürk International Airport,Kastamonu,Turkey,41.31420135498047,33.795799255371094,3520,Istanbul,Turkey,40.976898,28.8146,163,418.72147966515945,0.8857363905311596,110.71783939073126
Turkish Airlines,Kars Airport,Atatürk International Airport,Kars,Turkey,40.562198638916016,43.1150016784668,5889,Istanbul,Turkey,40.976898,28.8146,163,1203.8119176724629,2.1484323378823365,158.53768582282032
Turkish Airlines,Zafer Airport,Atatürk International Airport,Kutahya,Turkey,39.113079,30.128111,3327,Istanbul,Turkey,40.976898,28.8146,163,235.4772691613109,0.7450474273844987,79.56436257298662
Onur Air,Gazipaşa Airport,Atatürk International Airport,Alanya,Turkey,36.299217,32.300598,86,Istanbul,Turkey,40.976898,28.8146,163,601.7089986251838,0.9516240894286552,91.57539973014678
Air Arabia,Sabiha Gökçen International Airport,Sharjah International Airport,Istanbul,Turkey,40.898601532,29.3092002869,312,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,2973.213338938352,4.689362936623615,383.9946180417392
Air Arabia,Imam Khomeini International Airport,Sharjah International Airport,Tehran,Iran,35.416099548339844,51.15219879150391,3305,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,1196.9021466325523,1.9265225999374374,208.30194361285967
Air Arabia,Hamad International Airport,Sharjah International Airport,Doha,Qatar,25.273056,51.608056,13,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,393.01581520383115,0.9643689219519122,73.40395248018689
Air Arabia,Mashhad International Airport,Sharjah International Airport,Mashhad,Iran,36.235198974609375,59.64099884033203,3263,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,1274.7509188066156,2.2958336056677933,171.25521869951717
Air Arabia,Shiraz Shahid Dastghaib International Airport,Sharjah International Airport,Shiraz,Iran,29.53919982910156,52.58980178833008,4920,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,550.0940790229901,0.8440223416787112,96.4822626479907
Air Arabia,Lar Airport,Sharjah International Airport,Lar,Iran,27.6746997833,54.3833007812,2641,Sharjah,United Arab Emirates,25.32859992980957,55.5172004699707,111,284.22534029949594,0.4780110193963806,96.9263434540909
Turkish Airlines,Atatürk International Airport,Abu Dhabi International Airport,Istanbul,Turkey,40.976898,28.8146,163,Abu Dhabi,United Arab Emirates,24.433000564575195,54.651100158691406,88,3017.8383505366655,4.679041100471802,322.3012260231594
Etihad Airways,Chicago O'Hare International Airport,Abu Dhabi International Airport,Chicago,United States,41.9786,-87.9048,672,Abu Dhabi,United Arab Emirates,24.433000564575195,54.651100158691406,88,11687.893628628579,14.834156347454396,1237.9263125240814
